Species
Pseudonocardia oroxyli
Pseudonocardia sp. AL041005-10
Pseudonocardia sp. CNS-139
Pseudonocardia sp. HH130629-09
Pseudonocardia sp. HH130630-07
Pseudonocardia sp. MH-G8
Pseudonocardia sp. N23
Pseudonocardia spinosispora
Pseudorhodoferax soli
Pseudorhodoferax sp. Leaf274
Pseudorhodoplanes sinuspersici
Pseudosporangium ferrugineum
Pseudoxanthobacter soli
Pseudoxanthomonas sp. CF125
Pseudoxanthomonas sp. Root630
Pseudoxanthomonas suwonensis
Pseudoxanthomonas wuyuanensis
Raineyella antarctica
Ralstonia mannitolilytica
Ralstonia pickettii
Ralstonia solanacearum
Ralstonia sp. MD27
Ramlibacter tataouinensis
Reyranella massiliensis
Rhizobacter gummiphilus
Rhizobacter sp. OV335
Rhizobacter sp. Root1221
Rhizobacter sp. Root404
Rhizobiales bacterium
Rhizobium etli
Rhizobium gallicum
Rhizobium leguminosarum
Rhizobium sp. WW_1
